Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
600 000 kr,Jespersgatan 22,Lägenhet,"Södra Sofielund, Malmö kommun",Såld 08 juni 2021,Daniel Marzouk,https://www.hemnet.se/maklare/maklarhuset-malmo-regementsgatan-25107/daniel-marzouk-16833,16 216 kr/m²,625 000 kr,-25 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,37 m²,,"3 av 3, hiss finns ej",1938,2 468 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-sodra-sofielund-malmo-kommun-jespersgatan-22-1402520,3 600 kr/år,,,,,,,55.5821905,13.0161434
1 315 000 kr,Sadelmakarebyn 2 A,Lägenhet,"Bunkeflostrand, Malmö kommun",Såld 04 juni 2019,Jennie Pembert,https://www.hemnet.se/maklare/svensk-fastighetsformedling-limhamn-701412/jennie-pembert-11882,18 786 kr/m²,1 175 000 kr,+140 000 kr (+12 %),Lägenhet,Bostadsrätt,3 rum,70 m²,,,,5 776 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-bunkeflostrand-malmo-kommun-sadelmakarebyn-2-a-1024191,,,,,,,,55.55700525,12.935840032163696
1 150 000 kr,Mariedalsvägen 49A,Lägenhet,"Slottstaden, Malmö kommun",Såld 23 mars 2018,,,39 655 kr/m²,1 150 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,,1 939 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-slottstaden-malmo-kommun-mariedalsvagen-49a-808303,,,,,,,,55.5944472,12.9831924
1 025 000 kr,Von lingens väg 52,Lägenhet,"Rosengård, Malmö kommun",Såld 24 januari 2022,Elsy Abou Akl,https://www.hemnet.se/maklare/bjurfors-sodermalm-2165/elsy-abou-akl-18060,17 227 kr/m²,895 000 kr,+130 000 kr (+15 %),Lägenhet,Bostadsrätt,2 rum,"59,5 m²",Ja,"7 av 9, hiss finns",1969,4 032 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rosengard-malmo-kommun-von-lingens-vag-52-1915218428982486738,,,,,,,,55.5891015,13.0456942
995 000 kr,Serenadgatan 43,Lägenhet,"Högaholm, Malmö kommun",Såld 11 augusti 2021,Jacob Friberg,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/jacob-friberg-14876,15 920 kr/m²,995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"62,5 m²",Nej,"2 av 3, hiss finns ej",1971,3 389 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hogaholm-malmo-kommun-serenadgatan-43-1434119,,,,,,,,55.559511,13.0095072
1 450 000 kr,Lorensborgsgatan 7C,Lägenhet,"Lorensborg, Malmö kommun",Såld 22 september 2020,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,26 364 kr/m²,1 395 000 kr,+55 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,55 m²,,"1 av 3, hiss finns ej",1957,2 556 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lorensborg-malmo-kommun-lorensborgsgatan-7c-1256345,4 338 kr/år,,,,,,,55.5873736,12.980736
2 495 000 kr,Rådmansgatan 23C,Lägenhet,"Rådmansvången, Malmö kommun",Såld 30 maj 2022,Bardia Ghasemi,https://www.hemnet.se/maklare/bjurfors-lund-centrum-1799/bardia-ghasemi-16229,43 017 kr/m²,2 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,58 m²,Nej,"2 av 5, hiss finns",1944,4 664 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-radmansvangen-malmo-kommun-radmansgatan-23c-8068860732093264969,,,,,,,,55.594693,13.0003044
1 495 000 kr,Nobelvägen 68B,Lägenhet,"Sorgenfri, Malmö kommun",Såld 24 september 2018,Mathilda Skoglund,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/mathilda-skoglund-11409,32 500 kr/m²,1 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,46 m²,,,2017/2018,2 590 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sorgenfri-malmo-kommun-nobelvagen-68b-886374,,,,,,Brf Alfreds hus 1 i Malmö,,55.5854076,13.0090857
1 495 000 kr,Jägersrovägen 8C,Lägenhet,"Västra Kattarp, Malmö kommun",Såld 04 oktober 2022,Malin Wallin,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-wallin-13595,26 696 kr/m²,1 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,"2,5 rum",56 m²,Ja,"4 av 4, hiss finns ej",1955,2 696 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-vastra-kattarp-malmo-kommun-jagersrovagen-8c-6280037525453479685",1 700 kr/år,,,,,,,55.5793616,13.0343669
985 000 kr,Ormvråksgatan 3,Lägenhet,"Söderkulla, Malmö kommun",Såld 19 februari 2016,,,12 236 kr/m²,995 000 kr,-10 000 kr (-1 %),Lägenhet,Bostadsrätt,3 rum,"80,5 m²",,,1970,4 343 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-soderkulla-malmo-kommun-ormvraksgatan-3-546660,,,,,,Tornfalken,,55.566447,13.0131835
1 550 000 kr,Branteviksgatan 14B,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 09 mars 2022,Haris Horozovic,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/haris-horozovic-15581,25 833 kr/m²,1 395 000 kr,+155 000 kr (+11 %),Lägenhet,Bostadsrätt,2 rum,60 m²,Ja,"4 av 4, hiss finns ej",1956,3 908 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ostra-sorgenfri-malmo-kommun-branteviksgatan-14b-5103210195279389047,5 244 kr/år,,,,,,,55.5924428,13.0310785
1 590 000 kr,Statistgatan 16,Lägenhet,"Lindeborg, Malmö kommun",Såld 09 juni 2021,Nina  Hjelm,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/nina-hjelm-15172,25 645 kr/m²,1 495 000 kr,+95 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,62 m²,,"5 av 8, hiss finns",,3 549 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-statistgatan-16-1403432,,,,,,,,55.5577627,12.9910735
1 650 000 kr,Bangatan 4B,Lägenhet,"Möllevången/Folkets Park, Malmö kommun",Såld 29 september 2021,,,26 829 kr/m²,1 650 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"61,5 m²",Ja,"8 av 9, hiss finns",1964,3 454 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-mollevangen-folkets-park-malmo-kommun-bangatan-4b-1467272,,,,,,,,55.5894242,13.0097093
1 760 000 kr,Västra Rönneholmsvägen 64B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 30 juni 2017,Daniel Karlsson,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/daniel-karlsson-10500,32 000 kr/m²,1 795 000 kr,-35 000 kr (-2 %),Lägenhet,Bostadsrätt,2 rum,55 m²,,,1944,3 247 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-vastra-ronneholmsvagen-64b-699074,3 600 kr/år,,,,,HSB Brf Tärningholm,,55.5949061,12.9811704
2 715 000 kr,Sölvesborgsgatan 3C,Lägenhet,"Folkets Park, Malmö kommun",Såld 17 maj 2021,Johanna Meyer,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-meyer-16549,51 226 kr/m²,2 500 000 kr,+215 000 kr (+9 %),Lägenhet,Bostadsrätt,2 rum,53 m²,Ja,"4 av 4, hiss finns ej",1939,3 827 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-folkets-park-malmo-kommun-solvesborgsgatan-3c-1386286,2 413 kr/år,,,,,,,55.5927353,13.0162306
4 750 000 kr,Lägatan 17,Lägenhet,"Dockan, Malmö kommun",Såld 28 maj 2022,Sam Lashkari,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sam-lashkari-17811,51 075 kr/m²,4 495 000 kr,+255 000 kr (+6 %),Lägenhet,Bostadsrätt,4 rum,93 m²,Ja,"2 av 7, hiss finns",2018,4 638 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-dockan-malmo-kommun-lagatan-17-682965766936511060,,,,,,,,55.613945,12.9872584
1 400 000 kr,Ronnebygatan 20B,Lägenhet,"Västra Sorgenfri, Malmö kommun",Såld 25 juli 2017,Malin Eriksson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-eriksson-12583,37 705 kr/m²,1 175 000 kr,+225 000 kr (+19 %),Lägenhet,Bostadsrätt,2 rum,"37,1 m²",,,1937,2 305 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-vastra-sorgenfri-malmo-kommun-ronnebygatan-20b-707514,2 600 kr/år,,,,,Brf Myntet,,55.5945484,13.0181597
3 450 000 kr,Davidshallsgatan 3A,Lägenhet,"Davidshall, Malmö kommun",Såld 04 mars 2019,,,47 260 kr/m²,2 795 000 kr,+655 000 kr (+23 %),Lägenhet,Bostadsrätt,3 rum,73 m²,,,1890,3 961 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-davidshall-malmo-kommun-davidshallsgatan-3a-958236,3 600 kr/år,,,,,Brf David,,55.6003257,12.9993966
1 500 000 kr,Serenadgatan 56,Lägenhet,"Almvik, Malmö kommun",Såld 23 mars 2021,,,18 405 kr/m²,1 395 000 kr,+105 000 kr (+8 %),Lägenhet,Bostadsrätt,3 rum,"81,5 m²",,"4 av 8, hiss finns",1971,3 872 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-hogaholm-malmo-kommun-serenadgatan-56-1351959,4 800 kr/år,,,,,,,55.5606661,13.011446
3 400 000 kr,Davidshallstorg 7,Lägenhet,"Davidshall, Malmö kommun",Såld 15 september 2017,,,47 222 kr/m²,3 295 000 kr,+105 000 kr (+3 %),Lägenhet,Bostadsrätt,"3,5 rum",72 m²,,,1931,3 109 kr/mån,"https://www.hemnet.se/salda/lagenhet-3,5rum-davidshall-malmo-kommun-davidshallstorg-7-730916",5 645 kr/år,,,,,Brf Valpen,,55.599072,12.9980392
1 430 000 kr,Ellstorpsgatan 1C,Lägenhet,"Ellstorp, Malmö kommun",Såld 30 augusti 2021,,,27 821 kr/m²,1 195 000 kr,+235 000 kr (+20 %),Lägenhet,Bostadsrätt,"2,5 rum","51,4 m²",Ja,"4 av 6, hiss finns",1939,2 691 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-ellstorp-malmo-kommun-ellstorpsgatan-1c-1445957",6 333 kr/år,,,,,,,55.6036427,13.0301157
1 550 000 kr,Sandvångsgatan 3B,Lägenhet,"Limhamn, Malmö kommun",Såld 21 september 2022,Max Wessfeldt,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/max-wessfeldt-19773,27 145 kr/m²,1 595 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,"57,1 m²",Ja,"3, hiss finns ej",,3 281 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-limhamn-malmo-kommun-sandvangsgatan-3b-1747758408985748354,,,,,,,,55.5814741,12.9407211
2 025 000 kr,Stora Trädgårdsgatan 3A,Lägenhet,"Drottningtorget, Malmö kommun",Såld 09 augusti 2021,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,39 706 kr/m²,1 950 000 kr,+75 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,51 m²,Ja,"3 av 5, hiss finns",1971,3 225 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-drottningtorget-malmo-kommun-stora-tradgardsgatan-3a-1432882,,,,,,,,55.6078233,13.0107149
1 845 000 kr,Köpenhamnsvägen 49A,Lägenhet,"Erikslust, Malmö kommun",Såld 27 februari 2020,,,28 385 kr/m²,1 795 000 kr,+50 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,65 m²,Nej,,1952,4 115 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-erikslust-malmo-kommun-kopenhamnsvagen-49a-1148527,,,,,,,,55.5941893,12.9682492
1 570 000 kr,Neptunigatan 75,Lägenhet,"Varvsstaden, Malmö kommun",Såld 15 december 2023,Rojda Taher,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-438051/rojda-taher-22068,46 176 kr/m²,1 695 000 kr,-125 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,34 m²,Ja,"2 av 11, hiss finns",2023,3 155 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-varvsstaden-malmo-kommun-neptunigatan-75-4928124683094437742,3 825 kr/år,,,,,,,55.6072828,12.9841484
1 310 000 kr,Sufflörgatan 3,Lägenhet,"Lindeborg, Malmö kommun",Såld 27 april 2023,Martina Ahlberg,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/martina-ahlberg-16952,21 129 kr/m²,1 395 000 kr,-85 000 kr (-6 %),Lägenhet,Bostadsrätt,2 rum,62 m²,Ja,"5 av 8, hiss finns",1973,3 539 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-sufflorgatan-3-5976562504933979801,4 046 kr/år,,,,,,,55.5658487,12.9890682
3 975 000 kr,Barlastgatan 26,Lägenhet,"Limhamns Sjöstad, Malmö kommun",Såld 10 juni 2021,Dan Andersson,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/dan-andersson-4057,43 207 kr/m²,3 975 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,4 rum,92 m²,Ja,"2 av 5, hiss finns",2020,4 764 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-limhamns-sjostad-malmo-kommun-barlastgatan-26-1404042,3 840 kr/år,,,,,,,55.5907943,12.9312513
2 415 000 kr,Falkmansgatan 3A,Lägenhet,"Lorensborg, Malmö kommun",Såld 27 juli 2021,Mikael  Gröndahl,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/mikael-grondahl-15691,31 987 kr/m²,2 475 000 kr,-60 000 kr (-2 %),Lägenhet,Bostadsrätt,3 rum,"75,5 m²",Ja,"8 av 8, hiss finns",1958,3 982 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-lorensborg-malmo-kommun-falkmansgatan-3a-1428530,4 200 kr/år,,,,,,,55.5885615,12.9845074
1 820 000 kr,Simrishamnsgatan 34B,Lägenhet,"Möllevången, Malmö kommun",Såld 09 april 2018,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,29 120 kr/m²,1 695 000 kr,+125 000 kr (+7 %),Lägenhet,Annat,2 rum,"62,5 m²",,,1928,3 251 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-mollevangen-malmo-kommun-simrishamnsgatan-34b-812967,3 904 kr/år,,,,,Bf Uret upa,,55.5914016,13.0112865
940 000 kr,Sadelmakarebyn 7B,Lägenhet,"Annestad, Malmö kommun",Såld 02 april 2019,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,23 500 kr/m²,945 000 kr,-5 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,40 m²,,,2005,3 769 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-annestad-malmo-kommun-sadelmakarebyn-7b-975287,5 600 kr/år,,,,,Brf Sadelmakaren 2,,55.55700525,12.935840032163696
4 525 000 kr,Erik Dahlbergsgatan 26,Lägenhet,"Davidshall, Malmö kommun",Såld 16 maj 2023,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,61 986 kr/m²,4 695 000 kr,-170 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,73 m²,Ja,"5 av 5, hiss finns",1928,4 085 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-davidshall-malmo-kommun-erik-dahlbergsgatan-26-8908850384619328155,1 990 kr/år,,,,,,,55.5985676,12.9960346
595 000 kr,Kollegiegatan 7B,Lägenhet,"Nydala, Malmö kommun",Såld 23 augusti 2018,,,14 337 kr/m²,595 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"41,5 m²",,,1961,2 287 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-nydala-malmo-kommun-kollegiegatan-7b-869015,,,,,,Riksbyggens Brf Malmöhus Nr 11,,55.5714193,13.0206691
1 500 000 kr,Kilian Zollsgatan 27D,Lägenhet,"Ribersborg, Malmö kommun",Såld 06 april 2023,Sandra Lindh,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/sandra-lindh-17715,37 500 kr/m²,1 595 000 kr,-95 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,40 m²,Ja,"1 av 4, hiss finns",1954,3 113 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-ribersborg-malmo-kommun-kilian-zollsgatan-27d-6652828211977352102,,,,,,,,55.6016543,12.980564
2 595 000 kr,Lovartsgatan 13,Lägenhet,"Dockan, Malmö kommun",Såld 09 september 2023,Christoffer Neurath,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/christoffer-neurath-18608,44 741 kr/m²,2 595 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,58 m²,Ja,"4 av 6, hiss finns",,4 459 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-dockan-malmo-kommun-lovartsgatan-13-3292181717519482736,,,,,,,,55.6130851,12.9880223
1 295 000 kr,Vitemöllegatan 14B,Lägenhet,"Nobeltorget, Malmö kommun",Såld 21 augusti 2020,Jessica Johansson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/jessica-johansson-9359,24 904 kr/m²,1 195 000 kr,+100 000 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,52 m²,,"4 av 4, hiss finns ej",1958,3 553 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-nobeltorget-malmo-kommun-vitemollegatan-14b-1236123,,,,,,,,55.5894781,13.0257103
1 240 000 kr,Västra Skrävlingevägen 91,Lägenhet,"Gula Höja, Malmö kommun",Såld 25 november 2020,Love Fält,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/love-falt-17703,21 017 kr/m²,1 195 000 kr,+45 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,,1970,3 631 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-gula-hoja-malmo-kommun-vastra-skravlingevagen-91-1294824,4 500 kr/år,,,,,,,55.5840687,13.057819
1 460 000 kr,Båstadsgatan 13,Lägenhet,"Östra Sorgenfri/Nobel, Malmö kommun",Såld 16 augusti 2020,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,28 077 kr/m²,1 495 000 kr,-35 000 kr (-2 %),Lägenhet,Bostadsrätt,2 rum,52 m²,,"4 av 4, hiss finns",1955,3 117 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ostra-sorgenfri-nobel-malmo-kommun-bastadsgatan-13-1232569,1 519 kr/år,,,,,,,55.5942922,13.0228363
1 585 000 kr,Neptunigatan 71,Lägenhet,"Varvsstaden, Malmö kommun",Såld 19 juni 2023,Malin Klevstig,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/malin-klevstig-19833,45 286 kr/m²,1 695 000 kr,-110 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,35 m²,Nej,"1 av 7, hiss finns",2022,2 825 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-varvsstaden-malmo-kommun-neptunigatan-71-4500355825974388100,4 389 kr/år,Ja,,,,,,55.6072828,12.9841484
1 650 000 kr,Västanväg 59 B,Lägenhet,"Limhamn, Malmö kommun",Såld 09 november 2021,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,28 205 kr/m²,1 395 000 kr,+255 000 kr (+18 %),Lägenhet,Bostadsrätt,2 rum,"58,5 m²",Ja,"1 av 3, hiss finns ej",1949,3 729 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-limhamn-malmo-kommun-vastanvag-59-b-1493379,4 320 kr/år,,,,,,,55.582555,12.9427155
2 300 000 kr,Kulladalsgatan 22 A,Lägenhet,"Kulladal, Malmö kommun",Såld 02 februari 2022,Labinot Krasniqi,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/labinot-krasniqi-8114,24 599 kr/m²,2 245 000 kr,+55 000 kr (+2 %),Lägenhet,Bostadsrätt,4 rum,"93,5 m²",Ja,"2 av 8, hiss finns",1965,5 327 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-kulladal-malmo-kommun-kulladalsgatan-22-a-7925608926784021722,3 240 kr/år,,,,,,,55.5712587,13.0020628
1 660 000 kr,Erikslustvägen 42C,Lägenhet,"Erikslust/Slottsstaden, Malmö kommun",Såld 14 januari 2016,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,25 152 kr/m²,1 595 000 kr,+65 000 kr (+4 %),Lägenhet,Bostadsrätt,3 rum,66 m²,,,1953,3 334 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-erikslust-slottsstaden-malmo-kommun-erikslustvagen-42c-464358,3 500 kr/år,,,,,HSB Brf Erikslust,,55.5908776,12.9632127
1 045 000 kr,Ellstorpsgatan 5D,Lägenhet,"Ellstorp, Malmö kommun",Såld 23 november 2017,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,19 717 kr/m²,1 095 000 kr,-50 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,53 m²,,,1944,2 664 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-5d-764274,6 300 kr/år,,,,,Brf Svenstorp 1,,55.6051385,13.0314897
1 850 000 kr,Högatan 11,Lägenhet,"Limhamn, Malmö kommun",Såld 28 februari 2022,Andreas Holmberg,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/andreas-holmberg-18485,44 048 kr/m²,1 695 000 kr,+155 000 kr (+9 %),Lägenhet,Bostadsrätt,2 rum,42 m²,Ja,"2 av 5, hiss finns",2018,2 497 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-limhamn-malmo-kommun-hogatan-11-315767908176705497,5 400 kr/år,,,,,,,55.568172,12.9478596
1 550 000 kr,Tors gränd 25,Lägenhet,"Hyllie, Malmö kommun",Såld 10 juli 2019,,,39 744 kr/m²,1 395 000 kr,+155 000 kr (+11 %),Lägenhet,Bostadsrätt,2 rum,39 m²,,,2018,2 664 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hyllie-malmo-kommun-tors-grand-25-1043665,4 982 kr/år,,,,,,,55.5618953,12.9810501
2 970 000 kr,Spånehusvägen 46A,Lägenhet,"S:t Knut, Malmö kommun",Såld 07 februari 2022,Malin Thelander,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/malin-thelander-6179,53 514 kr/m²,2 495 000 kr,+475 000 kr (+19 %),Lägenhet,Bostadsrätt,"2,5 rum","55,5 m²",Nej,"1 av 3, hiss finns ej",1917,3 893 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-s-t-knut-malmo-kommun-spanehusvagen-46a-6108528340223711795",5 880 kr/år,,,,,,,55.5956818,13.016147
1 550 000 kr,Linjeettgatan 5A,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 20 december 2021,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,46 970 kr/m²,1 550 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,33 m²,Ja,"3 av 7, hiss finns",2020,2 267 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-ostra-sorgenfri-malmo-kommun-linjeettgatan-5a-916756079844608192,,,,,,,,55.6008022,13.0221409
1 950 000 kr,Kilian Zollsgatan 9A,Lägenhet,"Ribersborg, Malmö kommun",Såld 12 mars 2017,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,30 469 kr/m²,1 750 000 kr,+200 000 kr (+11 %),Lägenhet,Bostadsrätt,2 rum,64 m²,,,1945,3 570 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-kilian-zollsgatan-9a-643658,,,,,,Brf Kilian 9,,55.6016543,12.980564
860 000 kr,Humanistgatan 8A,Lägenhet,"Eriksfält/Nydala, Malmö kommun",Såld 17 mars 2024,Ilir Sylejmani,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/ilir-sylejmani-7172,14 576 kr/m²,995 000 kr,-135 000 kr (-14 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,"4 av 9, hiss finns",,2 933 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-eriksfalt-nydala-malmo-kommun-humanistgatan-8a-1014365458548917416,,,,,,,,55.5714435,13.0149838
1 360 000 kr,Bodekullsgatan 39A,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 12 juli 2019,Marina Nilsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/marina-nilsson-12686,21 622 kr/m²,1 295 000 kr,+65 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,"62,9 m²",,,1947,3 107 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ostra-sorgenfri-malmo-kommun-bodekullsgatan-39a-1044324,4 000 kr/år,,,,,,,55.5928561,13.0239507
945 000 kr,Uppsalagatan 21A,Lägenhet,"Södervärn, Malmö kommun",Såld 05 september 2018,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,24 868 kr/m²,945 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,38 m²,,,1941,2 095 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-sodervarn-malmo-kommun-uppsalagatan-21a-876338,,,,,,Brf Wasa,,55.5867792,13.007529
3 075 000 kr,Packhusgatan 27,Lägenhet,"Limhamns Sjöstad, Malmö kommun",Såld 03 oktober 2023,Johan Bergengren,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/johan-bergengren-19069,35 549 kr/m²,3 195 000 kr,-120 000 kr (-4 %),Lägenhet,Bostadsrätt,3 rum,"86,5 m²",Nej,"1 av 8, hiss finns",2023,4 918 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-limhamns-sjostad-malmo-kommun-packhusgatan-27-3100646157169812732,2 520 kr/år,Ja,,,,,,55.5887396,12.9330203
1 565 000 kr,Vitemöllegatan 3C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 14 april 2021,Haris Horozovic,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/haris-horozovic-15581,29 417 kr/m²,1 095 000 kr,+470 000 kr (+43 %),Lägenhet,Bostadsrätt,2 rum,"53,2 m²",,"1 av 4, hiss finns ej",,3 234 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-nobeltorget-malmo-kommun-vitemollegatan-3c-1364353,5 777 kr/år,,,,,,,55.5896428,13.0220233
