Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
3 000 000 kr,Edward Lindahlsgatan 14A,Lägenhet,"Fågelbacken, Malmö kommun",Såld 05 mars 2021,Jessica Johansson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/jessica-johansson-9359,47 923 kr/m²,2 595 000 kr,+405 000 kr (+16 %),Lägenhet,Bostadsrätt,3 rum,"62,6 m²",,"2 av 4, hiss finns ej",1938,2 819 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-fagelbacken-malmo-kommun-edward-lindahlsgatan-14a-1342027,,,,,,,,55.5952281,12.9865808
1 900 000 kr,Kalkstensvägen 15,Lägenhet,"Limhamn, Malmö kommun",Såld 09 augusti 2022,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,38 776 kr/m²,2 295 000 kr,-395 000 kr (-17 %),Lägenhet,Bostadsrätt,2 rum,49 m²,Ja,"2 av 5, hiss finns",2012,2 983 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-limhamn-malmo-kommun-kalkstensvagen-15-2314999375676267932,,,,,,,,55.5730448,12.9250458
1 370 000 kr,Solgatan 25,Lägenhet,"Kirseberg, Malmö kommun",Såld 20 februari 2021,Isabelle Ekstrand,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/isabelle-ekstrand-15061,24 035 kr/m²,1 095 000 kr,+275 000 kr (+25 %),Lägenhet,Bostadsrätt,2 rum,57 m²,Ja,"2 av 4, hiss finns ej",1960,3 013 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-kirseberg-malmo-kommun-solgatan-25-1334344,4 860 kr/år,,,,,,,55.6092318,13.0382192
1 595 000 kr,Ystadsgatan 47A,Lägenhet,"Sofielund, Malmö kommun",Såld 30 oktober 2022,Jasmine Andersson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/jasmine-andersson-17866,31 900 kr/m²,1 595 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,50 m²,Nej,"2 av 4, hiss finns ej",1937,3 237 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sofielund-malmo-kommun-ystadsgatan-47a-7421642797367328617,,,,,,,,55.5915125,13.007001
640 000 kr,Hyacintgatan 39,Lägenhet,"Fosiedal, Malmö kommun",Såld 13 juli 2016,Fredrik Engwall,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/fredrik-engwall-8653,18 028 kr/m²,550 000 kr,+90 000 kr (+16 %),Lägenhet,Bostadsrätt,1 rum,"35,5 m²",,,1973,2 892 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-fosiedal-malmo-kommun-hyacintgatan-39-556118,840 kr/år,,,,,,,55.575223,12.9873617
1 295 000 kr,Dirigentgatan 4,Lägenhet,"Lindeborg, Malmö kommun",Såld 03 december 2022,Robert Salmi,https://www.hemnet.se/maklare/norban-722491/robert-salmi-20506,24 434 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,53 m²,Ja,"4 av 5, hiss finns",1999,3 980 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-dirigentgatan-4-197372663346068381,8 600 kr/år,,,,,,,55.5629223,12.991754
2 900 000 kr,Grynbodgatan 15B,Lägenhet,"Gamla Väster, Malmö kommun",Såld 24 september 2021,,,46 774 kr/m²,2 795 000 kr,+105 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,62 m²,Nej,"4 av 4, hiss finns",1929,3 533 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-gamla-vaster-malmo-kommun-grynbodgatan-15b-1464251,,,,,,,,55.6035532,12.9961769
700 000 kr,Berguvsgatan 6B,Lägenhet,"Söderkulla, Malmö kommun",Såld 24 oktober 2019,,,18 421 kr/m²,595 000 kr,+105 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,38 m²,,,1962,2 236 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-soderkulla-malmo-kommun-berguvsgatan-6b-1097846,,,,,,,,55.5700775,13.0088583
3 200 000 kr,Korsörvägen 22A,Lägenhet,"Dammfri, Malmö kommun",Såld 12 april 2022,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,38 095 kr/m²,2 850 000 kr,+350 000 kr (+12 %),Lägenhet,Bostadsrätt,4 rum,84 m²,Ja,"3 av 4, hiss finns ej",1951,5 753 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-dammfri-malmo-kommun-korsorvagen-22a-6850962817584927437,,,,,,,,55.5926898,12.9808886
2 695 000 kr,Bomgatan 16,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 29 juni 2021,Maxime Melkie,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/maxime-melkie-8937,49 000 kr/m²,2 695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,55 m²,Ja,"4 av 4, hiss finns",2021,3 305 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-vastra-hamnen-malmo-kommun-bomgatan-16-1416460,,,,,,,,55.6127345,12.9805326
