Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening
1 006 000 kr,Vendelsfridsgatan 6B,Lägenhet,"Lorensborg, Malmö kommun",Såld 03 juli 2019,Anders Backman,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/anders-backman-15211,37 259 kr/m²,795 000 kr,+211 000 kr (+27 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1959,1 885 kr/mån,,,,,,
310 000 kr,Vitlantgången 44 kolonistuga 44,Fritidshus,"Valdemarsro, Malmö kommun",Såld 26 maj 2023,Lidija Jakob,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lidija-jakob-20520,,345 000 kr,-35 000 kr (-10 %),Fritidshus,Annat,2 rum,26 m²,,,,,,18 m²,259 m²,,,
855 000 kr,Kungsgatan 27B,Lägenhet,"Värnhem, Malmö kommun",Såld 30 juni 2019,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,31 667 kr/m²,895 000 kr,-40 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,,2 244 kr/mån,,,,,,
1 250 000 kr,Kungsgatan 27B,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 03 juni 2022,Sara Persson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sara-persson-8993,46 296 kr/m²,1 250 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"4 av 6, hiss finns",1935,2 025 kr/mån,,,,,,
735 000 kr,Filippagången 350,Fritidshus,"Ärtholmens sommarstad, Malmö kommun",Såld 26 augusti 2020,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,575 000 kr,+160 000 kr (+28 %),Fritidshus,Annat,1 rum,28 m²,,,,,5 200 kr/år,12 m²,300 m²,Ja,5 900 kr/år,
295 000 kr,Sallerupsvägen 32G,Lägenhet,"Ellstorp, Malmö kommun",Såld 24 januari 2023,Rama Bernin,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/rama-bernin-21858,12 826 kr/m²,295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"1 av 4, hiss finns ej",1942,3 861 kr/mån,,,,,,
695 000 kr,Bragegatan 9,Lägenhet,"Dalaplan, Malmö kommun",Såld 01 september 2021,Sara Persson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sara-persson-8993,28 958 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,24 m²,Nej,"1 av 4, hiss finns ej",1945,2 325 kr/mån,,,,,,
670 000 kr,Vitemöllegatan 10C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 14 juni 2018,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,27 917 kr/m²,685 000 kr,-15 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1945-1946,1 923 kr/mån,,,,,,HSB Brf Friheten
1 280 000 kr,Västra Kristinelundsvägen 33B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 17 april 2020,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,42 105 kr/m²,1 345 000 kr,-65 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,"30,4 m²",Nej,,1948,2 128 kr/mån,,,,,,
1 055 000 kr,Hässleholmsgatan 6,Lägenhet,"Nobeltorget, Malmö kommun",Såld 13 oktober 2022,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,42 200 kr/m²,1 045 000 kr,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,25 m²,Ja,"4 av 4, hiss finns ej",1936,1 896 kr/mån,5 280 kr/år,,,,,
682 500 kr,Viktoriagången 398,Fritidshus,"Ärtholmen, Malmö kommun",Såld 15 augusti 2021,Lars Ridell,https://www.hemnet.se/maklare/egema-fastighetsformedling-488/lars-ridell-2151,,745 000 kr,-62 500 kr (-8 %),Fritidshus,Annat,1 rum,20 m²,,,1930,,3 500 kr/år,8 m²,345 m²,,5 447 kr/år,
1 095 000 kr,Kilian Zollsgatan 9 B,Lägenhet,"Ribersborg, Malmö kommun",Såld 07 oktober 2016,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,39 107 kr/m²,995 000 kr,+100 000 kr (+10 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1945,2 116 kr/mån,2 850 kr/år,,,,,Brf Kilian 9
1 150 000 kr,Drottninggatan 6B,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 10 oktober 2022,Rebecka Ovesen Wågert,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/rebecka-ovesen-wagert-19855,39 655 kr/m²,1 175 000 kr,-25 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"6 av 6, hiss finns",1935,2 214 kr/mån,,,,,,
895 000 kr,Gustaf Rydbergsgatan 7,Lägenhet,"Ribersborg, Malmö kommun",Såld 31 januari 2014,Tobias Enckell,https://www.hemnet.se/maklare/riksbyggen-ekonomisk-forening-719511/tobias-enckell-6001,31 964 kr/m²,895 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1943,2 011 kr/mån,2 160 kr/år,,,,,Brf Rydbergshill
380 000 kr,Vitemöllegatan 4F,Lägenhet,"Nobeltorget, Malmö kommun",Såld 14 oktober 2015,Roland Klarr,https://www.hemnet.se/maklare/ask-fastighetsformedling-711911/roland-klarr-10090,16 522 kr/m²,295 000 kr,+85 000 kr (+29 %),Lägenhet,Bostadsrätt,1 rum,23 m²,,,1944,1 766 kr/mån,4 500 kr/år,,,,,
1 195 000 kr,Rabygatan 65,Lägenhet,"Limhamn, Malmö kommun",Såld 21 februari 2022,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,41 207 kr/m²,1 295 000 kr,-100 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"2 av 4, hiss finns",1954,2 225 kr/mån,,,,,,
1 070 000 kr,Fredriksbergsgatan 8,Lägenhet,"City/Slussen, Malmö kommun",Såld 06 november 2023,Eric Roberts,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/eric-roberts-18069,44 583 kr/m²,1 085 000 kr,-15 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,"5 av 5, hiss finns ej",1926,1 606 kr/mån,4 800 kr/år,,,,,
925 000 kr,Trelleborgsgatan 4B,Lägenhet,"Folkets Park, Malmö kommun",Såld 22 mars 2021,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,42 045 kr/m²,995 000 kr,-70 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,22 m²,Nej,"5 av 5, hiss finns ej",1935,1 306 kr/mån,,,,,,
400 000 kr,Jasmingången 3,Fritidsboende,"Västkustens koloniområde / Sibbarp, Malmö kommun",Såld 05 augusti 2016,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,390 000 kr,+10 000 kr (+3 %),Fritidsboende,Äganderätt,2 rum,30 m²,,,60-tal,,996 kr/år,12 m²,300 m²,,,
1 060 000 kr,Östra Ryttmästaregatan 15A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 18 januari 2019,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,37 857 kr/m²,995 000 kr,+65 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1947,1 715 kr/mån,,,,,,Brf Göinge 6
945 000 kr,Osbygatan 11C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 04 september 2020,Love Fält,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/love-falt-17703,35 261 kr/m²,995 000 kr,-50 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,"26,8 m²",Nej,,1936,1 491 kr/mån,4 700 kr/år,,,,,
850 000 kr,Dalaplan 4D,Lägenhet,"Dalaplan, Malmö kommun",Såld 13 januari 2023,Malin van Ekström Ahlby,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/malin-van-ekstrom-ahlby-20906,27 778 kr/m²,850 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"30,6 m²",Nej,"3 av 4, hiss finns ej",1936,1 670 kr/mån,1 920 kr/år,,,,,
446 000 kr,Sperlingsgatan 7c,Lägenhet,"Kirseberg, Malmö kommun",Såld 17 juli 2015,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,15 649 kr/m²,395 000 kr,+51 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,"28,5 m²",,,1946-1949,2 304 kr/mån,,,,,,HSB Brf Huggaren
795 000 kr,Köpenhamnsvägen 13C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 29 november 2017,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,38 780 kr/m²,795 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"20,5 m²",,,1953,1 117 kr/mån,,,,,,HSB Brf Bornholm
1 100 000 kr,Västra Varvsgatan 16 G,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 23 juli 2015,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,41 825 kr/m²,1 050 000 kr,+50 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,"26,3 m²",,,,1 751 kr/mån,3 500 kr/år,,,,,Brf Ankarparken
675 000 kr,Vitemöllegatan 10 C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 13 september 2019,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,28 125 kr/m²,675 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1945,1 996 kr/mån,,,,,,
1 130 000 kr,Nikolaigatan 6,Lägenhet,"Triangeln, Malmö kommun",Såld 17 maj 2018,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,38 966 kr/m²,995 000 kr,+135 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1939,1 688 kr/mån,4 500 kr/år,,,,,Brf Vesslan 15
1 525 000 kr,Major Nilssonsgatan 7B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 22 augusti 2022,Caroline Wannerth,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/caroline-wannerth-19967,50 833 kr/m²,1 450 000 kr,+75 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Ja,"3 av 3, hiss finns ej",,1 550 kr/mån,,,,,,
1 050 000 kr,Major Nilssonsgatan 11A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 24 november 2023,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,40 385 kr/m²,1 195 000 kr,-145 000 kr (-12 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,"1,5 av 3, hiss finns ej",1946,1 808 kr/mån,,,,,,
1 555 000 kr,Regementsgatan 23,Lägenhet,"Ribersborg, Malmö kommun",Såld 23 augusti 2021,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,51 833 kr/m²,1 495 000 kr,+60 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Nej,"3 av 5, hiss finns",1937,2 340 kr/mån,5 700 kr/år,,,,,
680 000 kr,Roskildevägen 11c,Lägenhet,"Pildammarna, Malmö kommun",Såld 03 augusti 2015,Lennart Andén,https://www.hemnet.se/maklare/bocenter-fastighetsformedling-717791/lennart-anden-2543,26 154 kr/m²,775 000 kr,-95 000 kr (-12 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1946,1 564 kr/mån,3 000 kr/år,,,,,
660 000 kr,Ystadsgatan 47G,Lägenhet,"Möllevången/Sofielund, Malmö kommun",Såld 06 augusti 2015,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,21 290 kr/m²,545 000 kr,+115 000 kr (+21 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1937,2 257 kr/mån,5 360 kr/år,,,,,Brf Urbilden
1 170 000 kr,Sölvesborgsgatan 1,Lägenhet,"Folkets Park, Malmö kommun",Såld 09 augusti 2021,Frida Nordeborg,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/frida-nordeborg-16470,46 800 kr/m²,995 000 kr,+175 000 kr (+18 %),Lägenhet,Bostadsrätt,2 rum,25 m²,Nej,"5 av 5, hiss finns ej",1939,1 777 kr/mån,4 320 kr/år,,,,,
965 000 kr,Glasbruksgatan 2A,Lägenhet,"Limhamn, Malmö kommun",Såld 02 juli 2020,Daniel Bokhari Friberg,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/daniel-bokhari-friberg-16292,48 250 kr/m²,965 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,20 m²,Nej,,1950,1 441 kr/mån,3 620 kr/år,,,,,
650 000 kr,Serenadgatan 62,Lägenhet,"Högaholm, Malmö kommun",Såld 13 juli 2023,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,24 074 kr/m²,695 000 kr,-45 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,"1 av 9, hiss finns",1971,1 838 kr/mån,,,,,,
1 020 000 kr,Pilåkersvägen 4 a,Lägenhet,"Dammfri, Malmö kommun",Såld 18 oktober 2016,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,40 800 kr/m²,795 000 kr,+225 000 kr (+28 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1951,1 839 kr/mån,4 700 kr/år,,,,,HSB Brf Ängdala I Malmö
500 000 kr,Cox Orangegången 348,Fritidsboende,"Ärtholmen, Malmö kommun",Såld 21 april 2017,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,425 000 kr,+75 000 kr (+18 %),Fritidsboende,Äganderätt,1 rum,24 m²,,,,,3 396 kr/år,15 m²,300 m²,,,
1 175 000 kr,Ernst Ahlgrensgatan 4B,Lägenhet,"Ribersborg, Malmö kommun",Såld 30 november 2022,Linnéa Lindberg,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/linnea-lindberg-17954,40 517 kr/m²,1 195 000 kr,-20 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"7 av 7, hiss finns",1953,2 110 kr/mån,,,,,,
1 405 000 kr,Carl Herslowsgatan 9,Lägenhet,"Hästhagen, Malmö kommun",Såld 22 december 2018,Malin Fasth,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-fasth-8117,53 831 kr/m²,1 395 000 kr,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,"26,1 m²",,,,1 566 kr/mån,,,,,,Brf Hästhagen
1 415 000 kr,Kilian Zollsgatan 7B,Lägenhet,"Ribersborg, Malmö kommun",Såld 07 mars 2021,Ola G Lindskog,https://www.hemnet.se/maklare/bodirekt-298/ola-g-lindskog-416,45 645 kr/m²,1 195 000 kr,+220 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Ja,"1 av 4, hiss finns ej",1939,1 921 kr/mån,,,,,,
1 295 000 kr,Roslins väg 14B,Lägenhet,"Ribersborg, Malmö kommun",Såld 14 april 2022,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,43 167 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Nej,"1 av 4, hiss finns ej",1953,2 682 kr/mån,,,,,,
1 300 000 kr,"Östra Sommarstaden, Vitsippegången kolonistuga B2",Fritidshus,"Johanneslust, Malmö kommun",Såld 20 april 2021,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,,795 000 kr,+505 000 kr (+64 %),Fritidshus,Annat,2 rum,29 m²,,,,,,,434 m²,,6 926 kr/år,
1 150 000 kr,Hässleholmsgatan 4,Lägenhet,"Nobeltorget, Malmö kommun",Såld 28 maj 2021,Emmeli Ryd,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-727551/emmeli-ryd-19179,46 748 kr/m²,995 000 kr,+155 000 kr (+16 %),Lägenhet,Bostadsrätt,1 rum,"24,6 m²",Nej,"2 av 4, hiss finns ej",1936,1 392 kr/mån,,,,,,
950 000 kr,Erikslustvägen 42H,Lägenhet,"Slottsstaden, Malmö kommun",Såld 22 mars 2018,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,35 185 kr/m²,950 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,,1 714 kr/mån,,,,,,HSB Brf Erikslust
900 000 kr,Producentgatan 1,Lägenhet,"Lindeborg, Malmö kommun",Såld 10 februari 2023,Nour Khalil,https://www.hemnet.se/maklare/mohv-hyllie-725851/nour-khalil-21954,31 034 kr/m²,895 000 kr,+5 000 kr (+1 %),Lägenhet,Bostadsrätt,"1,5 rum",29 m²,Nej,"1 av 8, hiss finns",1973,1 782 kr/mån,,,,,,
810 000 kr,Jasminlunden 130,Fritidshus,"Elinelund, Malmö kommun",Såld 14 september 2021,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,695 000 kr,+115 000 kr (+17 %),Fritidshus,Annat,2 rum,30 m²,,,1954,,13 300 kr/år,"6,5 m²",390 m²,,,
1 075 000 kr,Rabygatan 69,Lägenhet,"Limhamn, Malmö kommun",Såld 19 juli 2021,Ellie Knutsson Olsrup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-727551/ellie-knutsson-olsrup-19045,37 069 kr/m²,995 000 kr,+80 000 kr (+8 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"2 av 4, hiss finns",1953,2 160 kr/mån,4 320 kr/år,,,,,
670 000 kr,Kungsgatan 27 B,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 18 november 2015,Ulf Björk,https://www.hemnet.se/maklare/bulow-lind-fastighetsformedling-28267/ulf-bjork-7802,29 130 kr/m²,595 000 kr,+75 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,23 m²,,,1934,1 894 kr/mån,5 040 kr/år,,,,,
1 350 000 kr,Gustaf Rydbergsgatan 7,Lägenhet,"Ribersborg, Malmö kommun",Såld 09 augusti 2018,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,48 214 kr/m²,1 195 000 kr,+155 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1943-1951,1 810 kr/mån,,,,,,Brf Rydbergshill
1 000 000 kr,Ellstorpsgatan 1A,Lägenhet,"Ellstorp, Malmö kommun",Såld 04 augusti 2021,Maja Gunnarsson,https://www.hemnet.se/maklare/fastighetsbyran-svedala-708631/maja-gunnarsson-18398,34 965 kr/m²,975 000 kr,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,"28,6 m²",,"4 av 6, hiss finns",1939,1 435 kr/mån,,,,,,
525 000 kr,"Nr 351, Gång 2B",Fritidshus,"Mossängen, Malmö kommun",Såld 14 maj 2019,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,510 000 kr,+15 000 kr (+3 %),Fritidshus,Annat,2 rum,31 m²,,,1960,,12 400 kr/år,36 m²,378 m²,,,
1 130 000 kr,Eslövsgatan 1C,Lägenhet,"Västra Sorgenfri, Malmö kommun",Såld 30 januari 2021,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,36 452 kr/m²,1 095 000 kr,+35 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,"1 av 4, hiss finns ej",1939,2 979 kr/mån,,,,,,
1 125 000 kr,Möllevångsgatan 30A,Lägenhet,"Triangeln, Malmö kommun",Såld 10 juni 2019,Johan Dahlberg,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/johan-dahlberg-12808,40 179 kr/m²,1 095 000 kr,+30 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1968,1 874 kr/mån,3 000 kr/år,,,,,
1 130 000 kr,Östra Rönneholmsvägen 25,Lägenhet,"Hästhagen, Malmö kommun",Såld 28 september 2016,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,36 452 kr/m²,995 000 kr,+135 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1934,2 080 kr/mån,2 005 kr/år,,,,,Brf Hövitsmannen 3
930 000 kr,Nordlinds Väg 100 B,Lägenhet,"Rönneholm, Malmö kommun",Såld 13 mars 2019,Agneta Chong,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/agneta-chong-9177,46 500 kr/m²,895 000 kr,+35 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,20 m²,,,1956,1 361 kr/mån,4 100 kr/år,,,,,HSB:s Brf Basunen
745 000 kr,Hässleholmsgatan 5B,Lägenhet,"Nobeltorget, Malmö kommun",Såld 28 september 2016,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,29 800 kr/m²,695 000 kr,+50 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1937,1 385 kr/mån,,,,,,Brf Ängen
995 000 kr,Folketshusvägen 19,Lägenhet,"Klagshamn, Malmö kommun",Såld 15 juli 2020,Therese Lagerfelt,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/therese-lagerfelt-15913,35 536 kr/m²,995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,"4 av 5, hiss finns",2019-2020,2 113 kr/mån,2 772 kr/år,,,,,
1 215 000 kr,Ernst Ahlgrensgatan 4 A,Lägenhet,"Ribersborg, Malmö kommun",Såld 26 oktober 2018,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,50 625 kr/m²,1 195 000 kr,+20 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1953,1 486 kr/mån,3 480 kr/år,,,,,Brf Stjärnehus
775 000 kr,Idaborgsgatan 57D,Lägenhet,"Ellstorp, Malmö kommun",Såld 03 juni 2022,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,29 808 kr/m²,745 000 kr,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,"2 av 6, hiss finns",1940,2 138 kr/mån,,,,,,
710 000 kr,Stuga 588 - Gång 7,Fritidshus,"Mossängen Sommarstad, Malmö kommun",Såld 09 september 2023,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,675 000 kr,+35 000 kr (+5 %),Fritidshus,Annat,2 rum,30 m²,,,1954,,2 000 kr/år,15 m²,380 m²,,11 300 kr/år,
850 000 kr,Dansörgatan 12,Lägenhet,"Lindeborg, Malmö kommun",Såld 08 oktober 2023,Sharon Ma,https://www.hemnet.se/maklare/croisette-hyllie-708891/sharon-ma-18405,29 310 kr/m²,895 000 kr,-45 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"1 av 8, hiss finns",1973,1 915 kr/mån,,,,,,
995 000 kr,Ystadsgatan 47G,Lägenhet,"Nobeltorget, Malmö kommun",Såld 16 oktober 2020,Alexander Karlsson,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/alexander-karlsson-17010,32 097 kr/m²,995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Ja,"4 av 4, hiss finns ej",1937,2 204 kr/mån,4 800 kr/år,,,,,
1 120 000 kr,Älggatan 48A,Lägenhet,"Limhamn, Malmö kommun",Såld 16 juli 2020,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,39 716 kr/m²,1 125 000 kr,-5 000 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"28,2 m²",Nej,,1953,1 790 kr/mån,,,,,,
525 000 kr,Östra Farmvägen 37 C,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 10 juli 2016,[email protected],"https://www.hemnet.se/maklare/hemverket-ab-36511/info-hemverket,se-144",25 000 kr/m²,525 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,21 m²,,,,1 078 kr/mån,,,,,,HSB Bostadsrättsförening Manligheten i Malmö
750 000 kr,Lektorsgatan 3 B,Lägenhet,"Nydala, Malmö kommun",Såld 27 februari 2021,Martina Ahlberg,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/martina-ahlberg-16952,25 424 kr/m²,750 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"29,5 m²",Ja,"1 av 4, hiss finns ej",1962,2 023 kr/mån,,,,,,
650 000 kr,Lettlandsgatan 2C,Lägenhet,"Heleneholm, Malmö kommun",Såld 17 oktober 2023,Mohammad Omran,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/mohammad-omran-21383,22 491 kr/m²,745 000 kr,-95 000 kr (-13 %),Lägenhet,Bostadsrätt,1 rum,"28,9 m²",Nej,"2 av 4, hiss finns ej",1957,1 624 kr/mån,,,,,,
1 375 000 kr,Falsterbogatan 18 B,Lägenhet,"Folkets park / Möllevången, Malmö kommun",Såld 06 mars 2017,Fatima Friberg,https://www.hemnet.se/maklare/bohem-40591/fatima-friberg-10507,52 083 kr/m²,1 150 000 kr,+225 000 kr (+20 %),Lägenhet,Bostadsrätt,1 rum,"26,4 m²",,,1939,1 418 kr/mån,7 416 kr/år,,,,,
1 600 000 kr,Östra Rönneholmsvägen 6 B,Lägenhet,"Rådmansvången, Malmö kommun",Såld 12 augusti 2017,Therese Franzén,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-732631/therese-franzen-10143,51 613 kr/m²,1 195 000 kr,+405 000 kr (+34 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1908,1 679 kr/mån,1 800 kr/år,,,,,Bostadsrättsföreningen Klostret 2
680 000 kr,Eslövsgatan 1C,Lägenhet,"Västra Sorgenfri, Malmö kommun",Såld 02 september 2015,Karin Bergkvist,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/karin-bergkvist-4069,29 565 kr/m²,620 000 kr,+60 000 kr (+10 %),Lägenhet,Bostadsrätt,1 rum,23 m²,,,1939,2 163 kr/mån,,,,,,Brf Hammarslund
